Algorithm c=0.100000 c=0.200000 c=0.350000 c=0.500000 c=0.700000 c=1.000000 c=1.500000 c=2.000000 c=3.000000 c=4.000000 c=5.000000 c=6.000000
SWR 0.999801 0.998328 0.996208 0.993378 0.988344 0.98028 0.9661 0.950041 0.919641 0.89883 0.889864 0.894097
PoissonOCS 0.999845 0.998237 0.99606 0.993102 0.987796 0.979457 0.965146 0.948979 0.918455 0.898006 0.889273 0.893683
MinDegree 0.999799 0.997646 0.994537 0.989996 0.98313 0.973412 0.958044 0.940857 0.911239 0.892996 0.887464 0.895672
BalanceSWR 0.999646 0.997087 0.993905 0.98987 0.982782 0.971396 0.954444 0.936577 0.905897 0.88596 0.880073 0.887716
BalanceOCS 0.999647 0.997054 0.993814 0.989756 0.982484 0.97089 0.953384 0.935004 0.90391 0.883822 0.87765 0.885565
Ranking 0.999654 0.997025 0.993847 0.989763 0.98242 0.970768 0.952939 0.934318 0.902345 0.88129 0.874894 0.882434
TopHalfSampling 0.991341 0.98109 0.969625 0.958998 0.946631 0.928323 0.906068 0.88388 0.845952 0.818108 0.800753 0.79514
BrubachEtAl 0.994155 0.988387 0.982191 0.97509 0.959611 0.944142 0.922733 0.901955 0.86548 0.826194 0.794151 0.778789
JailletLu 0.999277 0.996103 0.991036 0.985299 0.972414 0.956953 0.933713 0.912917 0.871502 0.827834 0.794353 0.777115
Correlated 0.993483 0.984388 0.974739 0.965583 0.95372 0.9356 0.912236 0.886986 0.841816 0.807009 0.78256 0.770728
ManshadiEtAl 0.992931 0.983743 0.974189 0.964909 0.953134 0.935195 0.911611 0.886501 0.841349 0.806613 0.782388 0.770498
JailletLuNonInt 0.999076 0.995711 0.9901 0.984795 0.972969 0.95504 0.92662 0.895941 0.844583 0.807302 0.777767 0.762202
BahmaniKapralov 0.999525 0.997625 0.992803 0.987458 0.974457 0.957512 0.926386 0.898338 0.845662 0.800161 0.766217 0.749276
FeldManEtAl 0.999525 0.997301 0.991923 0.984934 0.969713 0.949948 0.917136 0.889935 0.842196 0.798797 0.765956 0.749145
