Algorithm c=0.100000 c=0.200000 c=0.350000 c=0.500000 c=0.700000 c=1.000000 c=1.500000 c=2.000000 c=3.000000 c=4.000000 c=5.000000 c=6.000000
SWR 0.000896594 0.00219553 0.00251236 0.00310567 0.00333782 0.00416397 0.00495774 0.00543187 0.00596633 0.00484467 0.0026102 0.00307266
PoissonOCS 0.00071701 0.0023285 0.00262812 0.00309004 0.00348842 0.00436083 0.00513108 0.00534862 0.00580364 0.00481756 0.00249477 0.00304428
MinDegree 0.00142715 0.00435316 0.00541208 0.00569939 0.00610102 0.00687313 0.00675837 0.00715424 0.0063942 0.00524266 0.004424 0.00469782
BalanceSWR 0.00162839 0.00360332 0.00409377 0.0045255 0.00414839 0.00510047 0.00546629 0.00498472 0.00497463 0.00361019 0.00222485 0.00424099
BalanceOCS 0.00163221 0.00361963 0.00420885 0.00452433 0.00424659 0.0052215 0.00540916 0.00508439 0.00494048 0.00367296 0.00222921 0.00422475
Ranking 0.00160292 0.00367894 0.00411 0.00454211 0.00440598 0.00520219 0.00574171 0.00528791 0.00514434 0.00392655 0.00232927 0.0043522
TopHalfSampling 0.0109811 0.0107424 0.00946621 0.00888431 0.00823229 0.00826861 0.00758197 0.00660889 0.00672573 0.00552931 0.002939 0.00167938
BrubachEtAl 0.0134465 0.0140702 0.0122764 0.011226 0.0110726 0.0125403 0.00824907 0.00847732 0.00885797 0.0109036 0.00655314 0.00470748
JailletLu 0.00257907 0.00588127 0.00691324 0.00732835 0.00935523 0.0097952 0.00936339 0.00710395 0.00951864 0.0109468 0.00678072 0.00501677
Correlated 0.00754578 0.00868405 0.00803183 0.00733023 0.00699817 0.00788599 0.00778165 0.00751656 0.00812754 0.00697766 0.0044491 0.00297709
ManshadiEtAl 0.0085815 0.00911942 0.00829061 0.00775572 0.00694079 0.00779069 0.0075902 0.00729774 0.00796962 0.00705653 0.00431886 0.0029002
JailletLuNonInt 0.00307979 0.00532425 0.00582254 0.00708508 0.0069292 0.00947077 0.01074 0.0107732 0.0105491 0.00907269 0.00690166 0.00424379
BahmaniKapralov 0.0023584 0.0051869 0.0064505 0.00719679 0.0095923 0.0118356 0.0122172 0.0107694 0.011338 0.0110028 0.00693664 0.00424195
FeldManEtAl 0.0023584 0.00557413 0.00740481 0.00929105 0.0111048 0.0132165 0.0125984 0.00984011 0.010476 0.0109979 0.00674049 0.0042007
