Algorithm c=0.100000 c=0.200000 c=0.350000 c=0.500000 c=0.700000 c=1.000000 c=1.500000 c=2.000000 c=3.000000 c=4.000000 c=5.000000 c=6.000000
SWR 0.99963 0.998504 0.996262 0.993109 0.988271 0.979389 0.964956 0.949122 0.920427 0.898999 0.890313 0.893788
PoissonOCS 0.999617 0.99845 0.996105 0.992795 0.987813 0.978683 0.964008 0.948092 0.919492 0.89822 0.88975 0.8935
MinDegree 0.999462 0.997317 0.994207 0.990043 0.983597 0.971708 0.955653 0.940223 0.912077 0.893599 0.887812 0.895186
BalanceSWR 0.999389 0.997655 0.994215 0.989331 0.982871 0.971373 0.953428 0.935848 0.906783 0.886542 0.880582 0.8872
BalanceOCS 0.999373 0.99758 0.994243 0.989239 0.982532 0.97101 0.952432 0.934414 0.904739 0.884298 0.878339 0.885046
Ranking 0.999393 0.997612 0.994156 0.989193 0.982436 0.970826 0.951871 0.933718 0.902973 0.881992 0.875473 0.881897
HeauplerEtAl 0.999818 0.998087 0.997267 0.992793 0.987593 0.975926 0.957345 0.938841 0.89956 0.858772 0.825829 0.809909
TopHalfSampling 0.990592 0.980428 0.969485 0.958176 0.945977 0.928801 0.904659 0.882662 0.846676 0.818832 0.801338 0.79525
BrubachEtAl 0.995034 0.989374 0.980602 0.973563 0.962364 0.943047 0.920945 0.902073 0.865413 0.827844 0.794878 0.779152
JailletLu 0.999499 0.996345 0.991606 0.984684 0.973969 0.956679 0.932551 0.911375 0.873712 0.830755 0.795436 0.777707
Correlated 0.992868 0.984756 0.974633 0.964843 0.95312 0.936585 0.910567 0.886045 0.842775 0.807901 0.783343 0.771171
ManshadiEtAl 0.992443 0.98384 0.974088 0.964204 0.952568 0.936029 0.910046 0.885488 0.842591 0.807597 0.783302 0.77084
JailletLuNonInt 0.999167 0.995864 0.991072 0.983639 0.972408 0.954329 0.925586 0.89508 0.845318 0.808988 0.779236 0.762425
BahmaniKapralov 0.999712 0.99753 0.993256 0.986862 0.976416 0.957229 0.926406 0.896446 0.847656 0.803362 0.767427 0.750005
FeldManEtAl 0.999712 0.997329 0.992376 0.98437 0.971118 0.949897 0.916916 0.887339 0.843852 0.802228 0.766907 0.749856
