Algorithm c=0.100000 c=0.200000 c=0.350000 c=0.500000 c=0.700000 c=1.000000 c=1.500000 c=2.000000 c=3.000000 c=4.000000 c=5.000000 c=6.000000
SWR 0.00140152 0.00231326 0.00263364 0.00298748 0.00375199 0.0042721 0.00484078 0.00545613 0.00674574 0.00441245 0.00244559 0.00248752
PoissonOCS 0.00144523 0.00244171 0.00270878 0.0030627 0.00390406 0.0042941 0.00484439 0.00550231 0.00673919 0.00445539 0.00247207 0.00254239
MinDegree 0.00270524 0.00512602 0.00525798 0.00598041 0.00651183 0.00643093 0.00710963 0.00729898 0.00727648 0.00448687 0.00455612 0.0045024
BalanceSWR 0.0021291 0.00367843 0.00373799 0.00409872 0.00478853 0.00480175 0.00567314 0.00546562 0.00560989 0.00363707 0.00293998 0.00376728
BalanceOCS 0.00219096 0.00380908 0.00368432 0.00402751 0.00478428 0.00489143 0.00595806 0.00547715 0.00569571 0.00362841 0.00286615 0.0039145
Ranking 0.00210542 0.00374444 0.00372356 0.00419245 0.00487256 0.00498431 0.00606393 0.00567843 0.00584186 0.00373314 0.00288546 0.00399139
HeauplerEtAl 0.00129014 0.00427292 0.00402415 0.0052664 0.00648611 0.0074987 0.00771195 0.00780402 0.0111469 0.0099498 0.0068935 0.00465361
TopHalfSampling 0.0106528 0.0106275 0.00912042 0.00900946 0.00899565 0.00774356 0.00715428 0.00674232 0.00787988 0.00514761 0.00331467 0.00168681
BrubachEtAl 0.0125612 0.0133268 0.0115341 0.0116298 0.0112022 0.011795 0.0102068 0.00816623 0.0103993 0.00972656 0.00743787 0.00484662
JailletLu 0.00170981 0.0054422 0.0061132 0.0072552 0.00909659 0.00966258 0.00940934 0.00798666 0.0111029 0.010797 0.00796065 0.0049129
Correlated 0.00788248 0.00815228 0.00725528 0.00712138 0.0078749 0.00761918 0.00753723 0.00744676 0.00944746 0.00677437 0.00515523 0.00284238
ManshadiEtAl 0.00834611 0.0088143 0.00737744 0.00718649 0.00818799 0.00774911 0.00753521 0.00732799 0.00953126 0.0066937 0.00509718 0.00289911
JailletLuNonInt 0.00281291 0.00534691 0.00570553 0.00615057 0.00814174 0.00940764 0.00999579 0.0119733 0.0107565 0.00850505 0.0069875 0.00443565
BahmaniKapralov 0.00191445 0.00469007 0.00716118 0.00808514 0.00974242 0.0118332 0.0114273 0.0121232 0.012663 0.0103583 0.0077463 0.00402855
FeldManEtAl 0.00191445 0.00490901 0.00785856 0.00867877 0.0122323 0.0135333 0.0125227 0.0120129 0.011837 0.010627 0.00754115 0.00397993
