Algorithm Caltech36 Reed98 CE-GN CE-PG beause mbeaflw
SWR 0.927779 0.925062 0.957143 0.961224 0.958743 0.974007
PoissonOCS 0.926592 0.924454 0.955292 0.959621 0.958302 0.973242
MinDegree 0.879201 0.872816 0.947232 0.95536 0.951783 0.975457
BalanceSWR 0.871192 0.871073 0.942504 0.949468 0.941753 0.965432
BalanceOCS 0.868293 0.867564 0.940992 0.948222 0.940422 0.964564
Ranking 0.859293 0.858985 0.934425 0.943563 0.936604 0.966102
HeauplerEtAl 0.829642 0.829983 0.837531 0.859032 0.809183 0.795424
TopHalfSampling 0.800393 0.798562 0.817234 0.836851 0.81015 0.810876
BrubachEtAl 0.795667 0.795577 0.796586 0.821423 0.774192 0.766011
JailletLu 0.795105 0.795145 0.797236 0.822144 0.768595 0.757527
Correlated 0.783883 0.783367 0.806478 0.832856 0.777088 0.767793
ManshadiEtAl 0.783895 0.784102 0.805913 0.83298 0.777187 0.768019
JailletLuNonInt 0.773147 0.772191 0.788256 0.815946 0.763648 0.753788
BahmaniKapralov 0.772524 0.770652 0.773107 0.802587 0.746723 0.73675
FeldManEtAl 0.766754 0.765618 0.771133 0.800928 0.742433 0.73675
