Algorithm Caltech36 Reed98 CE-GN CE-PG beause mbeaflw
SWR 0.0147464 0.0131707 0.013428 0.0185278 0.0164961 0.0152257
PoissonOCS 0.0145507 0.0130365 0.0133645 0.0186374 0.0162952 0.0150118
MinDegree 0.017294 0.0145421 0.0137639 0.0193272 0.0174668 0.0156523
BalanceSWR 0.0149246 0.0133379 0.0140812 0.0190264 0.0169298 0.0149271
BalanceOCS 0.0148899 0.0132574 0.0138934 0.0191224 0.0166412 0.0151332
Ranking 0.0152008 0.0136274 0.0139683 0.0190541 0.0176888 0.0163127
HeauplerEtAl 0.0134593 0.0118754 0.0108095 0.0147503 0.0154258 0.0154323
TopHalfSampling 0.0132575 0.011513 0.010686 0.0144886 0.0142693 0.0132845
BrubachEtAl 0.0135055 0.0118758 0.0105603 0.0141533 0.0153237 0.0154826
JailletLu 0.0133278 0.0122634 0.0108456 0.0143936 0.0153572 0.0156854
Correlated 0.013829 0.0116528 0.0111169 0.014672 0.0151891 0.0156746
ManshadiEtAl 0.0134606 0.0119498 0.0106914 0.0151951 0.0154245 0.0155361
JailletLuNonInt 0.014159 0.0129046 0.0106293 0.0143198 0.0160674 0.0155563
BahmaniKapralov 0.0135835 0.0122727 0.0105623 0.0141368 0.0153874 0.0157204
FeldManEtAl 0.0137299 0.0121947 0.0105491 0.0142214 0.0156859 0.0157204
