Algorithm hi-tech physicians gent113 lp_blend
SWR 0.926625 0.926701 0.92759 0.948365
PoissonOCS 0.926702 0.925193 0.925443 0.944326
MinDegree 0.90916 0.912976 0.901827 0.957141
BalanceSWR 0.900332 0.909935 0.909677 0.942334
BalanceOCS 0.894677 0.90564 0.906708 0.936944
Ranking 0.891657 0.901435 0.903333 0.932779
HeauplerEtAl 0.894524 0.866343 0.886872 0.87808
TopHalfSampling 0.834295 0.830363 0.836274 0.833897
BrubachEtAl 0.8299 0.822435 0.838581 0.82398
JailletLu 0.845798 0.831172 0.839981 0.822531
Correlated 0.827416 0.817807 0.832792 0.831669
ManshadiEtAl 0.827034 0.816553 0.832781 0.831697
JailletLuNonInt 0.828907 0.822064 0.825967 0.814425
BahmaniKapralov 0.8299 0.811635 0.795065 0.802543
FeldManEtAl 0.818856 0.799174 0.784576 0.802543
