Algorithm c=0.200000 c=0.400000 c=0.600000 c=0.800000 c=1.000000 c=1.200000 c=1.400000 c=1.600000 c=1.800000 c=2.000000
SWR 0.999693 0.996381 0.99171 0.985962 0.979651 0.971551 0.967046 0.959878 0.951132 0.94752 
SWRType 0.99971 0.996321 0.992324 0.986295 0.981334 0.972868 0.96844 0.962018 0.952584 0.950352 
PoissonOCS 0.999706 0.996259 0.991213 0.985127 0.978567 0.970865 0.96596 0.958225 0.950227 0.946727 
MinDegree 1 0.993837 0.98715 0.978813 0.975427 0.965523 0.959851 0.953558 0.942855 0.943101 
BalanceSWR 0.999356 0.994157 0.987787 0.980407 0.972777 0.9625 0.957201 0.948598 0.940134 0.936712 
BalanceOCS 0.999386 0.993923 0.987482 0.979981 0.972223 0.961326 0.956777 0.947967 0.93858 0.935502 
Ranking 0.999414 0.993823 0.987544 0.97963 0.971736 0.961139 0.955965 0.946847 0.937816 0.935083 
TopHalfSampling 0.986402 0.973866 0.963902 0.94841 0.939177 0.919383 0.912477 0.89826 0.887028 0.879346 
BrubachEtAl 0.984946 0.980724 0.973776 0.954312 0.95419 0.935521 0.930706 0.911739 0.907211 0.904387 
JailletLu 0.997824 0.991889 0.981445 0.966009 0.962199 0.94692 0.942606 0.928196 0.917187 0.913801 
ManshadiEtAl 0.98344 0.972311 0.963237 0.948622 0.938886 0.924365 0.916814 0.902951 0.891627 0.886639 
BahmaniKapralov 0.998183 0.993734 0.986405 0.966314 0.962704 0.940835 0.935727 0.918726 0.90371 0.900845 
FeldManEtAl 0.998183 0.993105 0.981376 0.958586 0.957286 0.9328 0.926297 0.906681 0.895497 0.895212 
