Algorithm Caltech36 Reed98 CE-GN CE-PG beause mbeaflw
SWR 0 0 0 0 0 0 
SWRType 0.0147777 0.0128361 0.0133067 0.018475 0.0165564 0.0150708 
PoissonOCS 0.0146147 0.0127156 0.0132262 0.0182869 0.0162866 0.0149474 
MinDegree 0.0168418 0.0145307 0.0137405 0.0191556 0.0174309 0.0154986 
BalanceSWR 0.0152369 0.0131679 0.0138158 0.0187801 0.0167628 0.0148102 
BalanceOCS 0.0149642 0.0131189 0.0136432 0.0187363 0.017096 0.0153428 
Ranking 0.015886 0.0133126 0.0135044 0.0186767 0.0179151 0.0158947 
TopHalfSampling 0.0129254 0.0115823 0.0108501 0.0142295 0.0138403 0.0136497 
BrubachEtAl 0.0135138 0.012013 0.0107416 0.0144089 0.015375 0.0154683 
JailletLu 0.0135029 0.0121444 0.0107769 0.0142778 0.0151141 0.0152232 
ManshadiEtAl 0.0134856 0.0118765 0.010688 0.0148496 0.0149008 0.0144206 
BahmaniKapralov 0.0135165 0.011842 0.010255 0.0138475 0.0153177 0.0153773 
FeldManEtAl 0.0136308 0.0118141 0.0102376 0.0138318 0.0153952 0.0153773 
