Algorithm hi-tech physicians gent113 lp_blend
SWR 0.928593 0.926577 0.928751 0.947431
PoissonOCS 0.926607 0.925026 0.927126 0.945509
MinDegree 0.910828 0.913133 0.903176 0.957558
BalanceSWR 0.897761 0.909564 0.909912 0.941929
BalanceOCS 0.892145 0.904528 0.906224 0.936205
Ranking 0.889738 0.901044 0.903112 0.933405
TopHalfSampling 0.836288 0.830921 0.835841 0.83565
BrubachEtAl 0.831245 0.825599 0.839722 0.822905
JailletLu 0.848743 0.831884 0.839358 0.822919
Correlated 0.830863 0.817587 0.833649 0.832753
ManshadiEtAl 0.830977 0.816041 0.832751 0.831444
JailletLuNonInt 0.831016 0.822808 0.826058 0.814158
BahmaniKapralov 0.835715 0.812647 0.794592 0.80275
FeldManEtAl 0.825399 0.800489 0.784082 0.80275
