Algorithm hi-tech physicians gent113 lp_blend
SWR 0.0696258 0.024863 0.0376651 0.0586246
PoissonOCS 0.0707403 0.0244681 0.0373403 0.0582354
MinDegree 0.0743957 0.0249085 0.0388021 0.0616266
BalanceSWR 0.0710241 0.0246368 0.0372557 0.0590504
BalanceOCS 0.0699618 0.0252718 0.0366964 0.0576873
Ranking 0.0710987 0.0248908 0.0368767 0.0571473
HeauplerEtAl 0.0706198 0.0257848 0.0361495 0.0531439
TopHalfSampling 0.0692937 0.0238109 0.034772 0.0508051
BrubachEtAl 0.0711765 0.0260107 0.0342978 0.0508797
JailletLu 0.0702173 0.0250642 0.03505 0.0498767
Correlated 0.0705561 0.0257261 0.0357631 0.0515529
ManshadiEtAl 0.0695431 0.025259 0.0349179 0.0513324
JailletLuNonInt 0.0693935 0.0254245 0.0330326 0.0506989
BahmaniKapralov 0.0694508 0.0254669 0.0350711 0.0501544
FeldManEtAl 0.0715792 0.025557 0.0350321 0.0501544
